"","Continent","Type","Cod_DriveTrain","MSRP","Invoice","EngineSize","Cylinders","Horsepower","MPG_City","MPG_Highway","Weight","Wheelbase","Length","Lib_Model","Lib_Make"
"1","Asia","Sedan",1,43755,39014,3.5,6,225,18,24,3880,115,197,"3.5 RL 4dr","Acura"
"2","Asia","Sedan",1,461,411,3.5,6,225,18,24,3893,115,197,"3.5 RL w/Navigation 4dr","Audi"
"3","Asia","SUV",3,36945,33337,3.5,6,265,17,23,4451,106,189,"MDX","BMW"
"4","Asia","Sports",2,89765,79978,3.2,6,290,17,24,3153,100,174,"NSX coupe 2dr manual S","Buick"
"5","Asia","Sedan",1,2382,21761,2,4,200,24,31,2778,101,172,"RSX Type S 2dr","Cadillac"
"6","Asia","Sedan",1,33195,30299,3.2,6,270,20,28,3575,108,186,"TL 4dr","Chevrolet"
"7","Asia","Sedan",1,2699,24647,2.4,4,200,22,29,3230,105,183,"TSX 4dr","Chrysler"
"8","Europe","Sedan",1,2594,23508,1.8,4,170,22,31,3252,104,179,"A4 1.8T 4dr","Dodge"
"9","Europe","Sedan",1,3184,28846,3,6,220,20,28,3462,104,179,"A4 3.0 4dr","Ford"
"10","Europe","Sedan",3,3448,31388,3,6,220,18,25,3627,104,179,"A4 3.0 Quattro 4dr auto","GMC"
"11","Europe","Sedan",3,3343,30366,3,6,220,17,26,3583,104,179,"A4 3.0 Quattro 4dr manual","Honda"
"12","Europe","Sedan",3,4424,40075,3,6,220,18,25,4013,105,180,"A4 3.0 Quattro convertible 2dr","Hummer"
"13","Europe","Sedan",1,4249,38325,3,6,220,20,27,3814,105,180,"A4 3.0 convertible 2dr","Hyundai"
"14","Europe","Sedan",1,3594,32506,1.8,4,170,23,30,3638,105,180,"A41.8T convertible 2dr","Infiniti"
"15","Europe","Sedan",3,4284,3884,2.7,6,250,18,25,3836,109,192,"A6 2.7 Turbo Quattro 4dr","Isuzu"
"16","Europe","Sedan",1,3664,33129,3,6,220,20,27,3561,109,192,"A6 3.0 4dr","Jaguar"
"17","Europe","Wagon",3,4084,3706,3,6,220,18,25,4035,109,192,"A6 3.0 Avant Quattro","Jeep"
"18","Europe","Sedan",3,3964,35992,3,6,220,18,25,3880,109,192,"A6 3.0 Quattro 4dr","Kia"
"19","Europe","Sedan",3,4969,44936,4.2,8,300,17,24,4024,109,193,"A6 4.2 Quattro 4dr","Land Rover"
"20","Europe","Sedan",3,6919,6474,4.2,8,330,17,24,4399,121,204,"A8 L Quattro 4dr","Lexus"
"21","Europe","Sports",1,846,76417,4.2,8,450,15,22,4024,109,191,"RS 6 4dr","Lincoln"
